,,,,,,,,,
Cable ID,Cable code,Voltage level,Current Capacity (A) at 20°C ...,Current Capacity (A) at 20°C :.,Resistance (ohm/km),Inductance ... (mH/km),Inductance :. (mH/km),Capacitance (uF/km),Price (TL/km)
31,3x150+25 mm2,3.6/6 kV,NA,397,0.124,NA,0.29,0.47,6963000
32,3x185+25 mm2,3.6/6 kV,NA,453,0.0991,NA,0.28,0.5,8481000
33,1x35 mm2,6/10 kV,231,195,0.524,0.661,0.383,0.223,785100
34,1x50 mm2,6/10 kV,277,234,0.387,0.636,0.366,0.248,944900
35,1x70 mm2,6/10 kV,345,292,0.268,0.606,0.349,0.285,1226000
36,1x95 mm2,6/10 kV,418,354,0.193,0.582,0.334,0.32,1533000
37,1x120 mm2,6/10 kV,481,407,0.153,0.563,0.323,0.35,1872000
38,1x150 mm2,6/10 kV,537,460,0.124,0.546,0.313,0.382,2362000
39,1x185 mm2,6/10 kV,612,527,0.0991,0.529,0.304,0.415,2838000
40,3x35 mm2,6/10 kV,NA,173,0.524,NA,0.374,0.189,2127000
41,3x50 mm2,6/10 kV,NA,206,0.387,NA,0.355,0.209,2716000
42,3x70 mm2,6/10 kV,NA,257,0.268,NA,0.336,0.236,3603000
43,3x95 mm2,6/10 kV,NA,313,0.193,NA,0.32,0.263,4901000
44,3x120 mm2,6/10 kV,NA,360,0.153,NA,0.308,0.291,5934000
45,3x150 mm2,6/10 kV,NA,410,0.124,NA,0.299,0.314,7125000
46,3x185 mm2,6/10 kV,NA,469,0.0991,NA,0.29,0.341,8659000
47,1x95 mm2,12/20 kV,420,358,0.193,0.59,0.36,0.218,1560000
48,1x120 mm2,12/20 kV,483,412,0.153,0.571,0.349,0.238,1906000
49,1x150 mm2,12/20 kV,540,466,0.124,0.554,0.338,0.258,2393000
50,1x185 mm2,12/20 kV,614,534,0.0991,0.538,0.329,0.278,2877000
51,1x240 mm2,12/20 kV,718,627,0.0754,0.518,0.317,0.308,3543000
52,1x300 mm2,12/20 kV,813,715,0.0601,0.501,0.308,0.336,4455000
53,1x400 mm2,12/20 kV,904,819,0.047,0.48,0.298,0.377,5669000
54,1x150 mm2,20.3/35 kV,559,473,0.124,0.64,0.41,0.17,1720000
55,1x185 mm2,20.3/35 kV,637,543,0.0991,0.63,0.39,0.18,2020000
56,1x240 mm2,20.3/35 kV,745,641,0.0754,0.6,0.38,0.2,2530000
57,1x300 mm2,20.3/35 kV,846,735,0.0601,0.59,0.37,0.21,3150000
58,1x400 mm2,20.3/35 kV,938,845,0.047,0.57,0.35,0.23,4100000
59,1x500 mm2,20.3/35 kV,1010,950,0.0366,0.55,0.34,0.26,5150000
60,1x630 mm2,20.3/35 kV,1120,1040,0.0283,0.52,0.33,0.29,6550000
61,3x95 mm2,20.3/35 kV,NA,307,0.193,NA,0.4,0.15,4600000
62,3x120 mm2,20.3/35 kV,NA,352,0.153,NA,0.39,0.16,5500000
63,3x150 mm2,20.3/35 kV,NA,397,0.124,NA,0.37,0.17,6400000
64,3x185 mm2,20.3/35 kV,NA,453,0.0991,NA,0.36,0.18,7500000
65,3x240 mm2,20.3/35 kV,NA,529,0.0754,NA,0.35,0.2,9400000
66,3x300 mm2,20.3/35 kV,NA,626,0.0601,NA,0.29,0.22,11300000
67,3x400 mm2,20.3/35 kV,NA,720,0.047,NA,0.28,0.24,14300000
